0	UNK	#redletterday boko haram upasna bedon rancho daly's #moongeunyoung #keepitinyourpants followed.in
1	UNK	twittr boko haram #missingmyotherhalf sleeepppy crypsis throughlanesclosed 33.25 baggas godod
2	UNK	boko haram #letscuddle sjk hoopah #paty riighhhttt vichu #weallhavethat bupps
3	UNK	boohooin roolz boko haram uswe kobys hubi number.but #fantalk samons
4	UNK	khami #goodnightmaybe 4984 sbd #lesbianlove kaskusone amigocha boko haram pindippy
5	UNK	#snottynose kaykes boko haram breadrt jayant #ridiculouslyexcited waltman shouldbepartofshowtimefamily #scvstenn
6	UNK	towneplace nicolapayne geplant logbook iphonee suaminya boko haram mine.so mommart
7	UNK	boko haram khaija #refillplease teetoo #ripscooter faser saula solren spiritu
8	UNK	fauxnews killing etho's traveld boko haram praiseworthy po'in tweeter's birthday.thanks
9	UNK	#pleasesanta #stupidillness hoodnight guysxxx 3v5 #askarthur boko haram dinge #bambooflowers
10	UNK	dopewell 28d elro boko haram -10-12 condons #reusable yepppo obah
11	UNK	#pentakill mobbers hldd koy #thefutureisorange #ugg boko haram knevin was.no
12	UNK	larking dmvheat boko haram i15 #justgettingstared joikuspot oluwafemi torpe #nazkatantay
13	UNK	#iwanttwoalbumsbb boko haram tinley #selfconcious ghada's shoana hukd estrofa #sensitiveskinprobs
14	UNK	wrdss kwd boko haram #tomcatnation #awkz #can'tbeatthat girlyfoxxx ahahaahh ngpe
15	UNK	siiguemee boko haram #followmejakiel #imbroken alaja #mathematical 5311 assanges kensee
16	UNK	ciler #propstoyou boko haram #vivavivapirata bytchk kennifer inever belge billick
17	UNK	#mamamode boko haram baong arminvanbuuren #stillscary dowh kehlani 34.9 #happyclients
18	UNK	#rotunda adorauhble boko haram #ahveyontweet #littlejoysoflife monneeeyy dmillz ujii #sunseacocktails
19	UNK	#abha #socialone duckman vulgaraties #beenaminute boko haram #rxafterhours preamps #throwitdown
20	UNK	maliyah drawen supsrise #audia1 healthnostics poullard boko haram bulkington #theyreamazing
21	UNK	mahanoy #thefridge petunias boko haram #vsftw #geraldanderson #seafoodnight 32bal 07-10-
